event_id,date,city,country,venue,is_apex
bfe95ec546692b13,2021-02-20,Las Vegas,USA,,0
3f7c14c7eca7195d,2021-02-13,Las Vegas,USA,,0
a1153013cb5f628f,2021-02-06,Las Vegas,USA,,0
4304992c2acc187b,2021-01-23,Abu Dhabi,United Arab Emirates,,0
56116537d71a578c,2021-01-20,Abu Dhabi,United Arab Emirates,,0
307064d3e0f036c2,2021-01-16,Abu Dhabi,United Arab Emirates,,0
e49c2db95e572dc8,2020-12-19,Las Vegas,USA,,0
d0d43cb9b14f231c,2020-12-12,Las Vegas,USA,,0
398b440e73d55b8b,2020-12-05,Las Vegas,USA,,0
992c82450d96f726,2020-11-28,Las Vegas,USA,,0
bbb15f301e4a490a,2020-11-21,Las Vegas,USA,,0
3bc27ec15facbcf3,2020-11-14,Las Vegas,USA,,0
41dca66f9dadfc86,2020-11-07,Las Vegas,USA,,0
ad044be25c94dcfd,2020-10-31,Las Vegas,USA,,0
c3c38c86f5ab9b5c,2020-10-24,Abu Dhabi,United Arab Emirates,,0
d4f364dd076bb0e2,2020-10-17,Abu Dhabi,United Arab Emirates,,0
fd4578cac86d75ca,2020-10-10,Abu Dhabi,United Arab Emirates,,0
805ad1801eb26abb,2020-10-03,Abu Dhabi,United Arab Emirates,,0
e69c5ce12f4e762b,2020-09-26,Abu Dhabi,United Arab Emirates,,0
831b937811804dad,2020-09-19,Las Vegas,USA,,0
9c37681096c6f3a9,2020-09-12,Las Vegas,USA,,0
542db012217ecb83,2020-09-05,Las Vegas,USA,,0
e29cf523ebd155c5,2020-08-29,Las Vegas,USA,,0
af1e5c64b8663aa0,2020-08-22,Las Vegas,USA,,0
bda04c573563cc2e,2020-08-15,Las Vegas,USA,,0
7a82635ffa9b59fe,2020-08-08,Las Vegas,USA,,0
3746e21bb508391a,2020-08-01,Las Vegas,USA,,0
dde70a112e053a6c,2020-07-25,Abu Dhabi,United Arab Emirates,,0
ddbd0d6259ce57cc,2020-07-18,Abu Dhabi,United Arab Emirates,,0
18f5669a92e99d92,2020-07-15,Abu Dhabi,United Arab Emirates,,0
dbd198f780286aca,2020-07-11,Abu Dhabi,United Arab Emirates,,0
c32eab6c2119e989,2020-06-27,Las Vegas,USA,,0
2eab7a6c8b0ed8cc,2020-06-20,Las Vegas,USA,,0
1e13936d708bcff7,2020-06-13,Las Vegas,USA,,0
4c12aa7ca246e7a4,2020-06-06,Las Vegas,USA,,0
14b9e0f2679a2205,2020-05-30,Las Vegas,USA,,0
dfb965c9824425db,2020-05-16,Jacksonville,USA,,0
5f8e00c27b7e7410,2020-05-13,Jacksonville,USA,,0
898337ef520fe4d3,2020-05-09,Jacksonville,USA,,0
53278852bcd91e11,2020-03-14,Brasilia,Brazil,,0
0b5b6876c2a4723f,2020-03-07,Las Vegas,USA,,0
