fight_id,round,r_kd,r_sig_landed,r_sig_attempts,r_td,r_ctrl_sec,r_head_landed,r_body_landed,r_leg_landed,r_distance_landed,r_clinch_landed,r_ground_landed,b_kd,b_sig_landed,b_sig_attempts,b_td,b_ctrl_sec,b_head_landed,b_body_landed,b_leg_landed,b_distance_landed,b_clinch_landed,b_ground_landed,r_total_landed,r_total_attempts,r_td_attempts,r_sub_att,r_rev,b_total_landed,b_total_attempts,b_td_attempts,b_sub_att,b_rev,r_head_attempts,r_body_attempts,r_leg_attempts,b_head_attempts,b_body_attempts,b_leg_attempts,r_distance_attempts,r_clinch_attempts,r_ground_attempts,b_distance_attempts,b_clinch_attempts,b_ground_attempts
62fbdd4f0bcd3c2a,1,1,44,68,0,32,26,10,8,25,1,18,0,16,36,0,0,6,6,4,16,0,0,,,,,,,,,,,,,,,,,,,,,,
d8d22dcc1f6912e7,1,0,6,15,0,0,5,1,0,6,0,0,0,8,11,2,221,4,0,4,7,0,1,,,,,,,,,,,,,,,,,,,,,,
97770b38df67b276,1,0,35,57,0,16,13,14,8,35,0,0,0,21,37,0,2,6,9,6,21,0,0,,,,,,,,,,,,,,,,,,,,,,
6f3cb7ce84185dd3,1,1,9,16,0,37,4,1,4,7,0,2,0,6,17,0,118,1,1,4,6,0,0,,,,,,,,,,,,,,,,,,,,,,
7d51649373d42571,1,0,37,78,0,0,17,15,5,37,0,0,0,11,45,0,0,7,1,3,11,0,0,,,,,,,,,,,,,,,,,,,,,,
c2c20a04a78d9143,1,1,6,12,0,1,1,4,1,6,0,0,0,9,18,0,0,1,1,7,9,0,0,,,,,,,,,,,,,,,,,,,,,,
e7b3ca036835b7c2,1,0,5,6,1,294,5,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
23201d09a78d446d,1,0,9,27,0,4,7,2,0,7,2,0,0,22,34,0,88,2,14,6,17,5,0,,,,,,,,,,,,,,,,,,,,,,
7fd6770fe2d4f258,1,0,10,23,0,0,6,2,2,9,1,0,0,30,42,1,49,14,3,13,27,1,2,,,,,,,,,,,,,,,,,,,,,,
e733f148060bef2a,1,0,27,44,1,58,21,2,4,14,4,9,0,8,22,0,3,5,1,2,8,0,0,,,,,,,,,,,,,,,,,,,,,,
d05cb4c4135ce402,1,0,5,11,2,130,4,1,0,4,0,1,0,16,40,0,0,7,1,8,16,0,0,,,,,,,,,,,,,,,,,,,,,,
d3be5a4e0ec273e2,1,0,11,21,0,0,3,4,4,10,1,0,0,4,10,0,35,0,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,
8c540eb4afe8c43e,1,0,22,34,1,53,5,3,14,22,0,0,0,9,29,0,6,2,6,1,8,1,0,,,,,,,,,,,,,,,,,,,,,,
b2d731415bd367df,1,0,4,22,0,0,3,1,0,4,0,0,1,8,17,0,2,5,1,2,6,0,2,,,,,,,,,,,,,,,,,,,,,,
fc43d60cbd6b0e6a,1,0,9,37,0,1,4,1,4,9,0,0,0,26,51,0,0,15,6,5,26,0,0,,,,,,,,,,,,,,,,,,,,,,
0eccebee160137b1,1,0,6,17,0,0,4,2,0,5,0,1,0,4,9,1,183,4,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,
11eb27a1ac74d225,1,0,10,16,1,99,10,0,0,4,1,5,0,10,21,1,117,4,5,1,9,1,0,,,,,,,,,,,,,,,,,,,,,,
08e7a39eb7482ebf,1,0,13,31,1,48,11,1,1,12,0,1,0,54,73,0,48,52,0,2,22,11,21,,,,,,,,,,,,,,,,,,,,,,
