fight_id,event_id,r_fighter_id,b_fighter_id,r_fighter_name,b_fighter_name,weight_class,winner_corner,fight_url
3183dfe66fcdd25f,026b4f7049085842,8b6e5dc2ba1edbe7,4729c93ba705a3bf,Sam Patterson,Kiefer Crosbie,Welterweight,R,https://www.ufcstats.com/fight-details/3183dfe66fcdd25f
3e2bde19e752f64b,026b4f7049085842,7826923b47f8d72a,887961364be5ceb3,Paddy Pimblett,King Green,Lightweight,R,https://www.ufcstats.com/fight-details/3e2bde19e752f64b
45e6a9b56ee3a9d1,026b4f7049085842,329e403448756217,361d49960a196976,Nathaniel Wood,Daniel Pineda,Featherweight,R,https://www.ufcstats.com/fight-details/45e6a9b56ee3a9d1
678eda89a096dde8,026b4f7049085842,7138a15258dabf20,51018a31ddf31eb2,Bruna Brasil,Molly McCann,Women's Strawweight,R,https://www.ufcstats.com/fight-details/678eda89a096dde8
8a2e28da18ba6a25,026b4f7049085842,040a74bb0a465c54,9560ff14eb3129f7,Arnold Allen,Giga Chikadze,Featherweight,R,https://www.ufcstats.com/fight-details/8a2e28da18ba6a25
9d8c32c60df0e287,026b4f7049085842,60a42bf82447c919,42ac4020cba261ad,Jake Hadley,Caolan Loughran,Bantamweight,R,https://www.ufcstats.com/fight-details/9d8c32c60df0e287
a5558e8fec59a687,026b4f7049085842,0d5cc0170c1a7e71,0c25d0a5e8cdbf19,Mick Parkin,Lukasz Brzeski,Heavyweight,R,https://www.ufcstats.com/fight-details/a5558e8fec59a687
d6e240c47ba6034d,026b4f7049085842,75353550928a7921,5d1b7e3dd9e11074,Muhammad Mokaev,Manel Kape,Flyweight,R,https://www.ufcstats.com/fight-details/d6e240c47ba6034d
dff2ef8fdde8c502,026b4f7049085842,9c442aaf149ea982,87f8699fdcc2c404,Shauna Bannon,Alice Ardelean,Women's Strawweight,R,https://www.ufcstats.com/fight-details/dff2ef8fdde8c502
ec434314c5438fc7,026b4f7049085842,399afbabc02376b5,fa6796c55d6c5440,Tom Aspinall,Curtis Blaydes,Heavyweight,R,https://www.ufcstats.com/fight-details/ec434314c5438fc7
ec5163539a133f17,026b4f7049085842,b1b0729d27936f2f,f1fac969a1d70b08,Belal Muhammad,Leon Edwards,Welterweight,R,https://www.ufcstats.com/fight-details/ec5163539a133f17
f02fed4e98048471,026b4f7049085842,d1c65d2cf2925ddd,a93f94c923c3a9cb,Gregory Rodrigues,Christian Leroy Duncan,Middleweight,R,https://www.ufcstats.com/fight-details/f02fed4e98048471
1c0f5152b0bbef05,02fc8f50f56eb307,8f2d9ee27f206f1f,817e0bdf08efce2e,Evan Tanner,Elvis Sinosic,Light Heavyweight,R,https://www.ufcstats.com/fight-details/1c0f5152b0bbef05
38dbb6f2e1456acd,02fc8f50f56eb307,ad3f53c454cbbead,0aa92558424ced9e,Josh Barnett,Randy Couture,Heavyweight,R,https://www.ufcstats.com/fight-details/38dbb6f2e1456acd
3c2ac653409cf5f2,02fc8f50f56eb307,0e041d43a47d2e4b,cedfdf8d423d500c,Matt Lindland,Pat Miletich,Middleweight,R,https://www.ufcstats.com/fight-details/3c2ac653409cf5f2
7468f870b08aaccc,02fc8f50f56eb307,1ff9589f9065a9ed,6291ac0a3726732f,Frank Mir,Pete Williams,Heavyweight,R,https://www.ufcstats.com/fight-details/7468f870b08aaccc
87f39e0d82349c3b,02fc8f50f56eb307,029880cdbf5ca089,95eb112a85601a0a,Sean Sherk,Jutaro Nakao,Welterweight,R,https://www.ufcstats.com/fight-details/87f39e0d82349c3b
e7833d5728f3ebef,02fc8f50f56eb307,621a6c59f88a44fe,85e26e2468b4e82f,Matt Hughes,Hayato Sakurai,Welterweight,R,https://www.ufcstats.com/fight-details/e7833d5728f3ebef
ef83377d584ec055,02fc8f50f56eb307,86dfed7cc24a9fa7,1a225f04aa6e0739,Matt Serra,Kelly Dullanty,Lightweight,R,https://www.ufcstats.com/fight-details/ef83377d584ec055
efc865fce64b5848,02fc8f50f56eb307,b44f39a5c6596953,3738e68d2261e60f,Pedro Rizzo,Andrei Arlovski,Heavyweight,R,https://www.ufcstats.com/fight-details/efc865fce64b5848
019b88d4ac875ae4,030f08370fd1c2bb,2f95a3c6d58b2aad,14aa21bc82cac57d,Iuri Alcantara,Iliarde Santos,Bantamweight,R,https://www.ufcstats.com/fight-details/019b88d4ac875ae4
05f8696303709939,030f08370fd1c2bb,6a2f7c151031653d,e5c9de15bb58b1c6,Rafael Dos Anjos,Evan Dunham,Lightweight,R,https://www.ufcstats.com/fight-details/05f8696303709939
110d18c0953bde1d,030f08370fd1c2bb,0ee783aa00e468f0,00e11b5c8b7bfeeb,Vitor Belfort,Luke Rockhold,Middleweight,R,https://www.ufcstats.com/fight-details/110d18c0953bde1d
11249454ed5fd71f,030f08370fd1c2bb,1fb80f46d3c105d9,27d65e9d0fba61ea,Fabio Maldonado,Roger Hollett,Light Heavyweight,R,https://www.ufcstats.com/fight-details/11249454ed5fd71f
4b4c4df2778538d9,030f08370fd1c2bb,30a09e43f15f1d75,e51fcd9cd84c0b93,Paulo Thiago,Michel Prazeres,Welterweight,R,https://www.ufcstats.com/fight-details/4b4c4df2778538d9
59bb17087b12ad35,030f08370fd1c2bb,0dba4df5f34d5ff0,be4076c9e8d791e3,Rafael Natal,Joao Zeferino,Middleweight,R,https://www.ufcstats.com/fight-details/59bb17087b12ad35
8aff100107d0ba11,030f08370fd1c2bb,c268b2cfebccf652,a1b0715c4fd2dbd3,John Lineker,Azamat Gashimov,Flyweight,R,https://www.ufcstats.com/fight-details/8aff100107d0ba11
91f33ac24fb39eca,030f08370fd1c2bb,a8283a4f415e1eb9,af90b10c785ced3e,Francisco Trinaldo,Mike Rio,Lightweight,R,https://www.ufcstats.com/fight-details/91f33ac24fb39eca
ac269f99e4e53634,030f08370fd1c2bb,7a703c565ccaa18f,6c2030e0a143a94b,Jacare Souza,Chris Camozzi,Middleweight,R,https://www.ufcstats.com/fight-details/ac269f99e4e53634
caa56c26127bf7e8,030f08370fd1c2bb,b102c26727306ab6,b2e3aca4cd363477,Jussier Formiga,Chris Cariaso,Flyweight,R,https://www.ufcstats.com/fight-details/caa56c26127bf7e8
cf5f9da861c5e63f,030f08370fd1c2bb,6fb1ba67bef41b37,ed209f6618c82e41,Nik Lentz,Hacran Dias,Featherweight,R,https://www.ufcstats.com/fight-details/cf5f9da861c5e63f
eacfc05c3e5ead5e,030f08370fd1c2bb,7413b80dbb0f8f9f,c3bd649a9194e50c,Lucas Martins,Jeremy Larsen,Lightweight,R,https://www.ufcstats.com/fight-details/eacfc05c3e5ead5e
edc4e54d5258eea8,030f08370fd1c2bb,75e5fec9f72910ef,03c9994c5b8958ec,Gleison Tibau,John Cholish,Lightweight,R,https://www.ufcstats.com/fight-details/edc4e54d5258eea8
06fab49a307ff3d2,0313bf497de9c470,2f13e4020cea5b38,5ef0088c1b19beeb,Raphael Assuncao,Bryan Caraway,Bantamweight,R,https://www.ufcstats.com/fight-details/06fab49a307ff3d2
17bb1e62772ac5af,0313bf497de9c470,56c9acc4e86046a2,6e7c758f5cdec01a,Chris Kelades,Paddy Holohan,Flyweight,R,https://www.ufcstats.com/fight-details/17bb1e62772ac5af
1cad3dc6d7eccdfb,0313bf497de9c470,6bd02119599741a4,12f1b140e248bdb9,Pedro Munhoz,Jerrod Sanders,Bantamweight,NC,https://www.ufcstats.com/fight-details/1cad3dc6d7eccdfb
20af0f55d226f320,0313bf497de9c470,c03a5022f8439f2a,3e61082025db8137,Chad Laprise,Yosdenis Cedeno,Lightweight,R,https://www.ufcstats.com/fight-details/20af0f55d226f320
2d13778322a8af82,0313bf497de9c470,b8592b4a383696cd,72c4b253d2f5ebf2,Mitch Gagnon,Roman Salazar,Bantamweight,R,https://www.ufcstats.com/fight-details/2d13778322a8af82
2d1f8ee74824f983,0313bf497de9c470,55ee431411ccf07a,33e00249ef08d3a4,Olivier Aubin-Mercier,Jake Lindsey,Lightweight,R,https://www.ufcstats.com/fight-details/2d1f8ee74824f983
