fighter_name,url,http_ok,http_error,html_bytes,anti_bot_hit,table_found,event_headers,headers_skipped_unconfirmed,headers_skipped_future,headers_with_dates,main_rows_total,matched_rows,fights_yielded,name_match_example,last_header_date_example,missing_closing_both,missing_closing_one_side,open_missing_count,reason_if_empty
Ryan Spann,https://www.bestfightodds.com/fighters/Ryan-Spann-3502,yes,,52331,maybe,yes,28,0,0,28,28,0,0,ryan spann +162 +163 ... +195 +7.7% ▲ ufc,Sep 14th 2012,0,0,0,NAME_NEVER_FOUND
Cody Stamann,https://www.bestfightodds.com/fighters/Cody-Stamann-7352,yes,,35831,maybe,yes,16,0,0,16,16,0,0,cody stamann +190 +205 ... +225 +8.8% ▲ ufc fight night,Oct 7th 2017,0,0,0,NAME_NEVER_FOUND
Wanderlei Silva,https://www.bestfightodds.com/fighters/Wanderlei-Silva-115,yes,,27607,maybe,yes,11,0,0,11,11,0,0,wanderlei silva +185 +210 ... +225 +10.4% ▲ bellator 206: mousasi vs. macdonald,Dec 29th 2007,0,0,0,NAME_NEVER_FOUND
Alex Stiebling,https://www.bestfightodds.com/fighters/Alex-Stiebling-1476,yes,,11553,maybe,yes,1,0,0,1,1,0,0,alex stiebling n/a bitetti combat 4,Sep 12th 2009,0,0,0,NAME_NEVER_FOUND
Martin Svensson,https://www.bestfightodds.com/fighters/Martin-Svensson-4366,yes,,18462,maybe,yes,5,0,0,5,5,0,0,martin svensson -130 -105 ... -105 +9.4% ▲ cage warriors 79: clist vs. svensson,Sep 14th 2013,0,0,0,NAME_NEVER_FOUND
Anthony Smith,https://www.bestfightodds.com/fighters/Anthony-Smith-1829,yes,,62279,maybe,yes,35,0,0,35,35,0,0,anthony smith +350 +260 ... +340 -11.9% ▼ ufc,Apr 16th 2010,0,0,0,NAME_NEVER_FOUND
Floyd Sword,https://www.bestfightodds.com/fighters/Floyd-Sword-66,yes,,11601,maybe,yes,1,0,0,1,1,0,0,floyd sword n/a ufc: the ultimate fighter 5 finale,Jun 23rd 2007,0,0,0,NAME_NEVER_FOUND
Tatiana Suarez,https://www.bestfightodds.com/fighters/Tatiana-Suarez-6544,yes,,24960,maybe,yes,9,0,1,9,8,0,0,tatiana suarez +172 -160 ... +105 -58.7% ▼ ufc,Jul 8th 2016,0,0,0,NAME_NEVER_FOUND
Julija Stoliarenko,https://www.bestfightodds.com/fighters/Julija-Stoliarenko-9926,yes,,25925,maybe,yes,10,0,0,10,10,0,0,julija stoliarenko +275 +320 ... +350 +14.8% ▲ ufc fight night: dolidze vs. hernandez odds,May 20th 2023,0,0,0,NAME_NEVER_FOUND
Anderson Silva,https://www.bestfightodds.com/fighters/Anderson-Silva-38,yes,,44786,maybe,yes,22,0,0,22,22,0,0,anderson silva +155 +200 ... +235 +21.1% ▲ ufc on espn+ 39: hall vs. silva,Jul 7th 2007,0,0,0,NAME_NEVER_FOUND
Bentley Syler,https://www.bestfightodds.com/fighters/Bentley-Syler-5320,yes,,12341,maybe,yes,1,0,0,1,1,0,0,bentley syler -170 +119 ... +135 +30% ▲ ufc fight night 62: maia vs. laflare,Mar 21st 2015,0,0,0,NAME_NEVER_FOUND
Brian Stann,https://www.bestfightodds.com/fighters/Brian-Stann-200,yes,,31047,maybe,yes,14,0,0,14,14,0,0,brian stann -230 -300 ... -300 -7.6% ▼ ufc on fuel tv 8: silva vs. stann,Sep 5th 2007,0,0,0,NAME_NEVER_FOUND
Klaudia Sygula,https://www.bestfightodds.com/fighters/Klaudia-Sygula-11261,yes,,19892,maybe,yes,7,0,0,7,7,0,0,klaudia sygula +140 +200 ... +225 +23.3% ▲ ufc fight night,May 8th 2021,0,0,0,NAME_NEVER_FOUND
Oumar Sy,https://www.bestfightodds.com/fighters/Oumar-Sy-12679,yes,,26051,maybe,yes,11,0,0,11,11,0,0,oumar sy -400 -650 ... -560 -7.6% ▼ ufc fight night,Oct 23rd 2021,0,0,0,NAME_NEVER_FOUND
Darren Stewart,https://www.bestfightodds.com/fighters/Darren-Stewart-4948,yes,,49577,maybe,yes,26,0,0,26,26,0,0,darren stewart -380 -550 ... -455 -5.3% ▼ cage warriors,Jun 7th 2014,0,0,0,NAME_NEVER_FOUND
George Sullivan,https://www.bestfightodds.com/fighters/George-Sullivan-4660,yes,,21894,maybe,yes,7,0,0,7,7,0,0,george sullivan +175 +270 ... +295 +28.2% ▲ ufc fight night 135: gaethje vs. vick,Jan 25th 2014,0,0,0,NAME_NEVER_FOUND
Dustin Stoltzfus,https://www.bestfightodds.com/fighters/Dustin-Stoltzfus-10214,yes,,29558,maybe,yes,12,0,1,12,11,0,0,dustin stoltzfus +225 +198 ... +215 -6.2% ▼ ufc,Aug 11th 2020,0,0,0,NAME_NEVER_FOUND
Georges St-Pierre,https://www.bestfightodds.com/fighters/Georges-St-Pierre-80,yes,,30860,maybe,yes,13,0,0,13,13,0,0,georges st-pierre -160 -105 ... +100 +17.5% ▲ ufc 217: bisping vs. st-pierre,Aug 25th 2007,0,0,0,NAME_NEVER_FOUND
