fight_id,event_id,date,matched_side,matched_fighter,db_opponent,bfo_opponent,bfo_opponent_url,offset_days,name_equal_norm,surname_subset,lev_distance,reason
eae8d2c30c0bb499,d5f820c11a121050,2014-03-23,red,Cezar Ferreira,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
3406cf3e28e30d1b,f9f07bb5a43535ed,2014-04-16,red,Sam Stout,KJ Noons,,,,,,,NO_HEADER_DATE_MATCH
f29ba17d818d4fac,05fbfe628658c538,2014-07-26,blue,Joanna Jedrzejczyk,Juliana Lima,,,,,,,NO_HEADER_DATE_MATCH
ffbc12e4f821ec68,51b0bb73a1da34bc,2014-02-15,blue,Francis Carmont,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
4911fcfb1b28faa5,ebc1f40e00e0c481,2014-03-08,red,Brad Scott,Claudio Silva,,,,,,,NO_HEADER_DATE_MATCH
6989466d287b4a57,fd7acf42bd6e7e95,2014-08-16,red,Thiago Tavares,Robert Peralta,,,,,,,NO_HEADER_DATE_MATCH
ee532a38a0b93127,ac9521250dc1a14c,2014-06-28,blue,Ian Entwistle,Dan Hooker,,,,,,,NO_HEADER_DATE_MATCH
01d4d1d8bcb014cf,51b0bb73a1da34bc,2014-02-15,blue,Wilson Reis,Iuri Alcantara,,,,,,,NO_HEADER_DATE_MATCH
629655f9b898810d,53adf5b845d91e4a,2014-07-05,red,Kevin Casey,Bubba Bush,,,,,,,NO_HEADER_DATE_MATCH
816119e4d9d983b1,51b0bb73a1da34bc,2014-02-15,red,Douglas Silva de Andrade,Zubaira Tukhugov,,,,,,,NO_HEADER_DATE_MATCH
2977a9b5c30d89c1,ac9521250dc1a14c,2014-06-28,red,Richie Vaculik,Roldan Sangcha'an,,,,,,,NO_HEADER_DATE_MATCH
2d050cb1f7d8789a,179f1948dc234f1f,2014-03-15,blue,Nikita Krylov,Ovince Saint Preux,,,,,,,NO_HEADER_DATE_MATCH
9988ff4d4197663b,3138fab619faf4d1,2014-02-22,red,Mike Pyle,TJ Waldburger,,,,,,,NO_HEADER_DATE_MATCH
bc9dd73e0a982c08,fc31f896cde2bc2e,2014-02-01,blue,Rashid Magomedov,Anthony Rocco Martin,,,,,,,NO_HEADER_DATE_MATCH
364ed6aecfc8d16d,179f1948dc234f1f,2014-03-15,red,Renee Forte,Francisco Trevino,,,,,,,NO_HEADER_DATE_MATCH
55139052f4641670,30a09e43f15f1d75,2014-01-15,blue,Mike Easton,TJ Dillashaw,,,,,,,NO_HEADER_DATE_MATCH
fca7fbd0bafc480c,9a967e8e43dcef63,2013-11-30,red,Julianna Pena,Jessica Rakoczy,,,,,,,NO_HEADER_DATE_MATCH
c9ebbba18e4e1e84,9a967e8e43dcef63,2013-11-30,blue,Ryan Benoit,Josh Sampo,,,,,,,NO_HEADER_DATE_MATCH
2b5058614b56a898,9a967e8e43dcef63,2013-11-30,red,Jared Rosholt,Walt Harris,,,,,,,NO_HEADER_DATE_MATCH
5cce3bc28ddb158f,5d7c18191b8aa432,2013-11-09,blue,Dustin Ortiz,Jose Maria,,,,,,,NO_HEADER_DATE_MATCH
f5fb4435faf1ca04,480b702debcb5433,2013-12-14,blue,Pat Healy,King Green,,,,,,,NO_HEADER_DATE_MATCH
fffa21388cdd78b7,eae4aec1a5a8ff01,2013-10-19,red,Tim Boetsch,CB Dollaway,,,,,,,NO_HEADER_DATE_MATCH
ed9d7d85a5ae06b1,eae4aec1a5a8ff01,2013-10-19,red,George Sotiropoulos,KJ Noons,,,,,,,NO_HEADER_DATE_MATCH
e2bb4b8ce5ada2a8,e5c9de15bb58b1c6,2014-01-04,red,Royston Wee,Dave Galera,,,,,,,NO_HEADER_DATE_MATCH
2bcb1b0b05e2c739,35dc6220b113b7ec,2013-11-06,blue,James Krause,King Green,,,,,,,NO_HEADER_DATE_MATCH
e1ccf09c055bac01,eae4aec1a5a8ff01,2013-10-19,red,Dustin Pague,Kyoji Horiguchi,,,,,,,NO_HEADER_DATE_MATCH
2443d8aa86f0070d,eae4aec1a5a8ff01,2013-10-19,blue,Adlan Amagov,TJ Waldburger,,,,,,,NO_HEADER_DATE_MATCH
bbcb7b5ca439bebb,b23fca14c7b79935,2013-09-04,red,Joseph Benavidez,Jussier Formiga,,,,,,,NO_HEADER_DATE_MATCH
751f2796809d2a6f,cf1a88371c8cb690,2013-08-17,red,Urijah Faber,Iuri Alcantara,,,,,,,NO_HEADER_DATE_MATCH
9166d2f99369c06b,b23fca14c7b79935,2013-09-04,red,Yushin Okami,Jacare Souza,,,,,,,NO_HEADER_DATE_MATCH
f1a9c3187855155c,83d0de122f2f9664,2013-12-28,red,Dennis Siver,Manvel Gamburyan,,,,,,,NO_HEADER_DATE_MATCH
